language-code	Original-Language-name	used_in_ml_bert?	wikipedia_abbreviation	wikipedia_nr_articles_2021	Language-name	subclass of	main family of languages	family of languages	macro family of languages	main writing system	country	writing system	has grammatical case	linguistic typology	Ethnologue language status	language regulatory body	has grammatical person	has grammatical gender	has grammatical mood	q-values	wiki-id	Country	Continent	Type of languages	Alfabet
NOR	Norwegian	1		566938	Norwegian	North Germanic	Indo-European	Germanic	Albanian-Slavic-Romance-Germanic	Latin script	Norway	Latin script	nominative case|accusative case|genitive case|dative case	subject–verb–object|V2 word order|nominative–accusative language|stress-timed language|fusional language	1 National	Norwegian Language Council|Norwegian Academy|Ivar Aasen-sambandet		masculine|feminine|neuter		Q9043			Europe	natural	latin
NDS	Plattdeutsch	1		82756	Low German	North Sea Germanic	Indo-European	Germanic	Albanian-Slavic-Romance-Germanic	Latin script	Germany|Netherlands|Denmark|Brazil	Latin script		subject–verb–object|V2 word order	7 Shifting					Q25433			Europe	natural	latin
PON	Pohnpeian	0		0	Pohnpeian	Ponapeic languages	Austronesian	Austronesian	Austronesian	Latin script	Federated States of Micronesia	Latin script			2 Provincial					Q28422			Oceania	natural	latin
POR	Portuguese	1		1075776	Portuguese	Galician-Portuguese languages	Indo-European	Romance	Albanian-Slavic-Romance-Germanic	Latin script	Portugal|Brazil|Spain|Angola|Cape Verde|Taiwan|East Timor|Guinea-Bissau|Mozambique|São Tomé and Príncipe	Portuguese alphabet		subject–verb–object|fusional language	1 National	International Portuguese Language Institute|Community of Portuguese Language Countries|Brazilian Academy of Letters|Sciences Academy of Lisbon		masculine|feminine		Q5146			Europe	natural	?
RUM	Romanian	1		423811	Romanian	Eastern Romance	Indo-European	Romance	Albanian-Slavic-Romance-Germanic	Latin script	Romania|Moldova|Serbia|Ukraine	Latin script	nominative case|accusative case|genitive case|dative case|vocative case	subject–verb–object|syllabic language	1 National	Romanian Academy		masculine|feminine|neuter		Q7913			Europe	natural	latin
RUS	Russian	1		1763438	Russian	East Slavic	Balto-Slavic	Balto-Slavic	Albanian-Slavic-Romance-Germanic	Cyrillic alphabet	Russia	Russian alphabet	nominative case|genitive case|dative case|accusative case|instrumental case|prepositional case|locative case|partitive case|vocative case	subject–verb–object|nominative–accusative language|stress-timed language|free-order language|fusional language	1 National	Russian Language Institute	first-person singular|second-person singular|third-person masculine singular|third-person feminine singular|third-person neuter singular|first-person plural|second-person plural|third-person plural	neuter|feminine|masculine|common gender	indicative|imperative|subjunctive	Q7737			Europe	natural	cyrillic
SHU	Shuar	0		0	Shuar	Jivaroan languages	Jivaroan languages	Jivaroan languages	Jivaroan languages	Latin script	Ecuador				5 Developing					Q617291			America	natural	latin
BLA	Siksiká	0		0	Blackfoot	Plains Algonquian languages	Algic	Algic	Algic	Latin script	Canada|United States of America	Latin script|Canadian Aboriginal syllabics		agglutinative language	7 Shifting					Q33060			America	natural	latin
SPA	Spanish	1		1724485	Spanish	Castilian languages|West Iberian	Indo-European	Romance	Albanian-Slavic-Romance-Germanic	Latin script	Spain|Andorra|Argentina|Belize|Bolivia|Chile|Colombia|Costa Rica|Cuba|Dominican Republic|Ecuador|El Salvador|Equatorial Guinea|Gibraltar|Guatemala|Honduras|Mexico|Nicaragua|Panama|Paraguay|Peru|United States of America|Uruguay|Venezuela	Spanish alphabet	nominative case	subject–verb–object|syllabic language|place–manner–time|pro-drop language	1 National	Association of Academies of the Spanish Language		masculine|feminine	indicative|imperative|subjunctive|conditional	Q1321			Europe	natural	latin
SWA	Swahili	1		67846	Swahili	Sabaki languages|Bantu	Bantu	Bantu	Bantu	Latin script	Tanzania|Democratic Republic of the Congo|Kenya|Rwanda|Uganda	Latin script|Arabic script		subject–verb–object|agglutinative language		Baraza la Kiswahili la Taifa				Q7838			Africa	natural	?
SWE	Swedish	1		2909680	Swedish	East Scandinavian	Indo-European	Germanic	Albanian-Slavic-Romance-Germanic	Latin script	Sweden|Finland|Åland	Latin script|Swedish alphabet	nominative case|genitive case	subject–verb–object|V2 word order|nominative–accusative language|stress-timed language|fusional language	1 National	Swedish Language Council		common gender|neuter		Q9027			Europe	natural	latin
SYR	Syriac	0		0	Syriac	Aramaic	Semitic	Semitic	Semitic	Syriac	Turkey	Syriac			9 Second language only					Q33538			Asia	natural	Syriac
TGL	Tagalog	1		43343	Tagalog	Central Philippine	Austronesian	Austronesian	Austronesian	Latin script	Philippines	Latin script|Filipino alphabet|Abakada alphabet|Philippine Braille|Baybayin		subject–verb–object|verb–subject–object|verb–object–subject|object–verb–subject	3 Wider Communication					Q34057			Asia	natural	?
TAM	Tamil	1		141672	Tamil	Tamil languages	Dravidian	Dravidian	Dravidian	Tamil script	India|Singapore|Sri Lanka|Malaysia|Mauritius|South Africa|Kenya	Tamil script|Vatteluttu alphabet|Kolezhuthu|Arabic script		subject–object–verb|agglutinative language|moraic language|nominative–accusative language	2 Provincial					Q5885			Asia	natural	?
THA	Thai	1		141666	Thai	Kra–Dai	Tai	Tai	Tai	Thai alphabet	Cambodia|Thailand	Thai alphabet		subject–verb–object|isolating language|tonal language	1 National	Royal Society of Thailand				Q9217			Asia	natural	?
TUR	Turkish	1		431808	Turkish	Western Oghuz	Turkic 	Turkic 	Turkic 	Latin script	Bulgaria|Cyprus|Greece|Turkey|Turkish Republic of Northern Cyprus	Turkish alphabet	instrumental case	subject–object–verb|agglutinative language	1 National	Turkish Language Association			mirative	Q256			Asia	natural	latin
UND	Uma	0		0	Uma		Austronesian	Austronesian	Austronesian	Latin script	Indonesia				5 Developing					Q7881036			Oceania	natural	latin
VIE	Vietnamese	1		1269473	Vietnamese	Sino-Xenic pronunciation|Vietic languages	Vietic	Vietic	Vietic	Latin script	Vietnam	Vietnamese alphabet|Vietnamese Braille|chữ Nôm		tonal language|subject–verb–object|isolating language	1 National					Q9199			Asia	natural	?
WIU	Witu	0		0	Dusun Witu	East Barito languages	Austronesian	Austronesian	Austronesian	Latin script	Indonesia	Latin script			6b Threatened					Q2381310		Papua New Guinea	Oceania	natural	?
YBY	Yaweyuha	0		0	Yaweyuha		Trans–New Guinea	Trans–New Guinea	Trans–New Guinea	Latin script	Papua New Guinea				5 Developing					Q3571231		Papua New Guinea	Oceania	natural	?
ZIA	Zia	0		0	Zia		Trans–New Guinea	Trans–New Guinea	Trans–New Guinea	Latin script	Papua New Guinea				5 Developing					Q3038636		Papua New Guinea	Oceania	natural	?
